شرح کارمزد,خرید,فروش,جمع,حداکثر مبلغ کارمزد خرید - میلیون ریال,حداکثر مبلغ کارمزد فروش - میلیون ریال,جمع - سقف کارمزدها - میلیون ریال,تاریخ مصوبه شورا,تاریخ مصوبه هیأت مدیره سازمان  ,توضیحات
کارمزد فرابورس,"کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ",بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,-
کارمزد کارگزاران,"کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ",بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,-
کارمزد سپرده گذاری ,"کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ",بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,-
کارمزد مدیریت فناوری,"کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ",بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,-
جمع,"کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ","کارمزد حق نظارت سازمان بورس در خصوص معاملات صندوق تثبیت بازار سرمایه ""صفر"" است. تاریخ اجرای این مصوبه 1396/10/23 میباشد. ",بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,بند ۷ صورتجلسه شورا مورخ 1396/10/05 ,-
